Gaeilge
*Greetings|Beannachtaí
Hello friends!|Dia dhaoibh a chairde!
How are you (one person)?|Cén chaoi a bhfuil tú?
How are you (more than one)?|Cén chaoi a bhfuil sibh?
*Proverbs|Seanfhocail
Consuming time whilst time consumes us.|Ag caitheamh an tsaoil is an saol ár gcaitheamh.
Rubbing fat on the fat pig's back.|Ag cuimilt saille buí le droim na muice méithe.
It takes one to know one.|Aithníonn ciaróg ciaróg eile.
Every cloud has a silver lining.|An áit a mbíonn an dólás bíonn an sólás ina aice.
There is no smoke without fire.|An áit a mbíonn deatach bíonn tine.
A handsome woman is easily dressed (good wine needs no bush).|An bhean atá dóighiúil is furasta a cóiriú.
Every fool has his following.|An chóisir i ndiaidh na hóinsí.
What the eye sees not the heart rues not.|An ní nach bhfeiceann súil ní bhrónann croí.
Penny wise, pound foolish.|An punt a chailleadh ag lorg na pingine.
What the pooka writes the pooka can read (let the author interpret his own words).|An rud a scríobhann an púca léann sé féin é.
What is long delayed loses its appeal.|An rud a théann i bhfad téann sé i bhfuaire.
What is got over the devil's back is spent under his belly (ill got, ill spent).|An rud a thig thar dhroim an diabhail imíonn sé faoina bholg.
Wonders never cease.|An rud is annamh is ionthch.
What one regards as a fate worse than death may be all for one's good.|An rud is measa le duine ná a bhás b'fhéidir gurb é lár a leasa é.
We close our ears to unpleasant things.|An rud nach binn le duine ní chluineann sé é.
Travellers have tales to tell.|An té a bhíonn siúlach, bíonn sé scéalach.
The one who's up, they drink his health, the one who is down is kicked.|An té a bhíonn thuas, óltar deoch air. An té a bhíonn thíos luítear cos air.
Out of sight out of mind.|An té a bhíos amuigh fuaraíonn a chuid.
The lowly is sure to be oppressed.|An té a bhíos thíos buailtear cos air.
Love me love my dog.|An té a bhuailfeadh mo mhadra bhuailfeadh sé mé féin.
A burnt child dreads the fire.|An té a bhuailtear sa cheann bíonn eagla air.
He who becomes lost to honour becomes lost to shame.|An té a chailleas a chlú cailleann sé a náire.
He who sleeps with dogs rises with fleas.|An té a luíonn le madraí, éireoidh sé le dreancaidí.
He who begins well ends well.|An té a mbíonn an t-ádh ar maidin air bíonn sé air maidin agus tráthnóna.
He who is not strong must needs be clever.|An té nach bhfuil láidir ní foláir dó a bheith glic.
A stitch in time saves nine.|An té nach gcuirfidh greim cuirfidh sé dhá ghreim.
He who doesn't get a grip on the job, the job gets a grip on him.|An té nach mbeireann ar an ngnó, beireann an gnó air.
He who will not yield to reason will yield to compulsion.|An té nach nglacann comhairle glacfaidh sé comhrac.
Do not look for sympathy where there is none.|An té nach trua leis do chás ná déan do ghearán leis.
The willing horse gets the most work.|An t-ualach is mó ar an gcapall is míne.
The lamb teaching its mother how to bleat.|An t-uan ag múineadh méilí dá mháthair.
You help me and I will help you.|Ardaigh orm agus ardóidh mé ort.
A cat purrs for its own benefit.|Ar mhaithe leis féin a bhíonn an cat ag crónán.
Man is a social animal.|Ar scáth a chéile a mhaireas na daoine.
Practice makes perfect.|As an obair a thagann an fhoghlaim.
The sea will have its own, its share of tragedies.|Bainfidh an fharraige a cuid féin amach.
Salute the good person and let the bad person pass (cherish your friends and avoid your enemies).|Beannaigh don dea-dhuine agus lig an drochdhuine thart.
There will come another day, there will be another chance.|Beidh lá eile ag an bPaorach.
The slow hound catches his own.|Beireann an cú mall ar a chuid féin.
Care could overcome fate (accidents can be avoided with care).|Bhuafadh an imní ar an gcinniúint.
Foreign cows have long horns (distance lends enchantment to the view).|Bíonn adharca fada ar na buaibh thar lear.
Nothing stings like the truth.|Bíonn an fhírinne searbh.
Little pigs have long ears (little pitchers have big ears).|Bíonn cluasa fada ar mhuca beaga.
A culprit turns a deaf ear to accusation.|Bíonn cluas bhodhar ag fear na foghla.
A borrowed horse is hard of foot (borrowing leads to abuse).|Bíonn cosa crua ar chapall iasachta.
He who calls a quarrel must take two-thirds of the blame.|Bíonn dhá dtrian mioscaise ar fhear fógartha.
A burnt child dreads the fire.|Bíonn eagla ar an té a dhóitear.
All may return but the dead.|Bíonn súil le muir ach ní bhíonn súil le huaigh.
Mollify the wicked and you need not fear the strong.|Bladair an drochmhadra agus ní heagal duit an dea-mhadra.
Look before you leap.|Breathnaigh an abhainn sula dtéir ina cuilithe.
Everything takes after its kind.|Briseann an dúchas trí shúile an chait.
Force may wreck a ship (it is better not to rush matters).|Bristear long le fórsa.
An eye for an eye and a tooth for a tooth.|Bualadh ar an mbualadh is buille ar an mbuille.
The longest way round is the shortest way home.|Cam díreach an ród is é an bealach mór an t-aicearra.
Say what you like and you will hear what you won't like.|Can an rud is áil leat agus cluinfidh tú an rud nach áil leat.
Light burdens long borne grow heavy.|Caora mhór an t-uan i bhfad.
Buy an old thing and be left with nothing.|Ceannaigh an seanrud agus bí gan aon rud.
Good grooming compensates for defects of person.|Ceann cíortha a dhíolas na cosa.
What would a cat's offspring do but kill a mouse?|Céard a dhéanfadh mac an chait ach luch a mharú?
God fitted the back for the burden, gave us the capacity to work.|Chrom Dia an droim don ualach.
He'd build a nest in your ear.|Chuirfeadh sé cosa faoi chearca duit.
Might defeats right.|Cloíonn neart ceart.
Disunity plays into the hands of the enemy.|Cogadh carad caoi namhad.
