Gaelg
*Greetings|Bannaghtyn
Hello.|Ta shiu cheet.
Hello everybody.|She nyn mea diu ooilley.
Hello old chap.|Uss t'ayn.
My name is X.|Ta X yn ennym orrym.
Beloved friend!|Charrey veen!
Ladies and gentlemen!|Vraane as gheiney seyrey!
Good morning!|Baill veih Jee hood!
Good morning!|Baill veih Jee dhyt!
Good morning!|Maddin vie!
Good morning!|Moghrey mie!
Good morning!|Moghrey dhyt!
Good night!|Oie vie!
Good evening.|Fastyr mie.
How are you?|Cre dty reill?
How are you?|Kys t'ou?
How are you?|Kanys ta shiu?
How are you keeping?|Kanys t'ou goll er?
How are you getting on?|Cre'n foaynoo t'ort?
How are you getting on?|Vel oo cosney?
How are you getting on?|Kanys ta reddyn cheet lhiat?
How are you faring?|Cre'n doaie ort?
How are you man?|Kys t'ou wooinney?
How are you man?|Kys t'ou la?
How are you yourself?|Kanys ta shiu hene?
How are you old buck?|Kys t'ou ghooinney choar?
How are you, old boy?|Kys t'ou y vac?
How are you, good fellow?|Kys t'ou ghooinney veen?
How are you girl?|Kys t'ou yah?
How goes it?|Cre'n doaie t'ort?
How is your daddy?|Kys ta dty yeyd?
My best compliments to all your family.|My chorp-as-slaynt share da ooilley nyn lught-thie.
Give him my kind regards.|Cur da my yeearreeyn dooie.
Remember me to her most affectionately.|Cur ayns cooinaghtyn mee jee lesh gien.
My love to your children.|My ghraih da ny lhiennoo eu.
Give my kind regards to X.|Cur my yeearreeyn share da X.
Give my good wishes to X.|Cur my vannaght hug X.
Give my compliments to your mother.|Cur my vannaght da dty voir.
Please, present my compliments to her.|Cur my chorp-as-slaynt huic, my sailliu.
Send my compliments to him.|Cur my vannaghtyn da.
Send her my wishes.|Cur corp as slaynt j'ee er my hon.
Compliments of the season to you.|Corp as slaynt yn imbagh diu.
Good luck to you.|Oorey vie ort.
Good luck to you.|Noorey vie ort.

*Questions|Keishtyn
Have you taken leave of your senses?|Vel oo ass dty cheeall?
Are you awake?|Vel oo dooisht?
Are you for or against?|Vel oo lesh ny noi?
Are you going or not?|Vel oo goll nyn dyn?
Are you keeping Lent?|Vel oo jannoo Yn Chargys?
Are you in your right senses?|Vel dty cheeall ayd?
Are you certain?|Vel oo shickyr?
Are you aware of that?|Vel fys ayd er shen?
Are you clear about it?|Vel oo shickyr mychione echey?
Are you there?|Vel oo ayns shen?
Are you tired?|Vel oo skee?
Are you ready?|Vel oo ullee?
Are you offended?|Vel frioggan ort?
Are you willing?|Vel oo arryltagh?
Aren't you convinced yet?|Nagh vel oo er dty hickyraghey foast?
Can you spare me a few minutes?|Nod oo cur minnid ny ghaa dou?
Don't you even know that?|Nagh vel fys ayd eer er shen?
Do you consider it worthwhile?|Er lhiat dy vel eh feeu?
Do you smoke?|Vel oo ceau thombaacey?
Do you remember?|Gooin lhiat?
Do you speak Manx?|Vel Gaelg ayd?
Has it come to that?|Vel eh er roshtyn shen?
Have you anything on this evening?|Vel red erbee er bun ayd noght?
Have you aught to say?|Vel veg ayd dy ghra?
Have I offended you?|Vel mee er chur comys hood?
Have I been unfair to you?|Vel mee er n'yannoo aggair dhyt?
How old are you?|Cre'n eash t'ou?
How old are you?|Cre'n eash t'ort?
How is it written?|Cre'n aght t'eh goll er screeu?
How is it that you didn't know?|Cre'n fa nagh row fys ayd?
How is it spelled?|Kanys t'eh lettrit?
How would I know?|Kevys dou?
Who are you?|Quoi oo hene?
Will you be there?|Bee oo ayns shen?
Will you come with me?|Jig oo marym?
Will you help me?|Jean oo cooney lhiam?
Which do you like best?|Quoi jeu share s'laik lhiu?
Are you still in bed?|Vel shiu foast 'sy lhiabbee?
Are you wide awake?|Vel shiu lhean dooisht?
And how did you sleep?|As kys ren shiuish cadley?

*Emotions|Irreeyn
**Happiness|Maynrys
I am so glad.|Ta boggey mooar orrym.
I'm glad.|S'taittin lhiam.
I am ever so pleased with it.|Ta mee slane jeant magh lesh.
I am delighted to hear of him.|S'taittin lhiam clashtyn jeh.
I am very glad.|Ta mee feer voggoil.
I am relatively happy.|Ta mee mayrnrey dy liooar.
I was pleased with it.|Daittin lhiam eh.
I love it.|Shynney lhiam eh.
In good humour.|Ayns gien mie.
I thank my stars that I came.|Bwooise da jee dy daink mee.
I should be delighted.|Veagh taitnys vooar orrym.
**Sadness|Trimshey
I am exceedingly miserable.|Ta mee trimshagh treih.
I am heart broken.|Ta my chree brisht.
My heart is broken.|Ta'n cree aym brisht.
I was grieved to hear the news.|B'olk lhiam clashtyn y naight.
I was very much sorrowed.|Va mee dy mooar seaghnit.
I am upset.|Ta boirey orrym.
I am upset.|Ta anvea orrym.
I feel low.|Ta mee lag-chreeagh.
I am dreadfully sorry.|S'treih lhiam dy mooar.
I am sorry to trouble you.|My leshtal son cur boirey ort.
I am sorry.|S'doogh lhiam.
I am sorry to say it.|S'treih lhiam gra eh.
I am sorry.|S'treih lhiam.
I am sorry.|S'olk lhiam.
I was sorry.|By hreih lhiam.
I'm very sorry that you've done that.|S'treih mooar lhiam dy vel oo er n'yannoo shen.
I am very sorry indeed.|S'treih mooar lhiam dy jarroo.
**Anger|Ferg
I am disposed to anger.|Ta mee currit da'n ferg.
I am angry.|Ta mee corree.
I am angry.|Ta corree orrym.
Becoming angry.|Goaill cheagh.
Getting in a rage.|Goll er ouyl.
Getting in a rage.|Goll cheagh.
In a rage.|Er ouyl.
It stirs my bile.|T'eh cur ferg orrym.
Angry to an extreme degree.|Sproghtit.
Angry to an extreme degree.|Jiarg-chorree.
Never in my life did I see anything so contemptible.|Cha naik mee rieau ayns my vea red erbee cha faghidagh.
**Fear|Aggle
I am fearful.|Ta mee goaill aggle.
I am fearful.|Ta mee faitagh.
I am frightened.|Ta aggle orrym.
I am frightened of him.|Ta mee goaill aggle roish.
Half dead with fright.|Geddyn baase jeh'n aggle.
I was filled with foreboding.|Va monney olk aym.
I was frightened to death.|Va mee agglit assym.
I am afraid of him.|Ta aggle aym roish.
I am scared.|Ta atchim orrym.
It gave me a scare.|Hug eh aggle orrym.
I was a little afraid.|Va red beg d'aggle orrym.
I was shaking in my shoes.|Va mee er creau ayns my chrackan.
I was half afraid of that.|Va beggan aggle orrym mychione shen.
I am afraid he will die.|Ta aggle orrym dy jean eh geddyn baase.
I am afraid he will die.|Yiow eh baase, s'treih lhiam gra.
**Amazement|Thanvainys
I was shocked.|Va greain orrym.
It shocked me.|Hug eh greain orrym.
I was speechless.|Va mee my host.
I was speechless.|Va mee balloo.
I was taken aback.|Va yindys currit orrym.
It struck me dumb.|Ren eh bolvane jeem.
I was thunderstruck.|Va mee thanvaanit.
It was like a bombshell to us.|Haink eh gollrish bleaystan orrin.
I was very much surprised.|Va yindys mooar orrym.
It passed my comprehension.|T'eh erskyn yn toiggal aym.
I never saw any thing like it.|Cha n'aik mee rieau red erbee gollrish.
I never saw the like before.|Cha n'aik mee rieau 'lheid roie.
I never saw such a thing in all my experience.|Cha vaik mee rieau yn lhied ayns ooilley'n seihll aym.
I never saw the like ever.|Cha naik mee rieau y lhied roie.
I never saw the like in my lifetime.|Cha naik mee rieau y lhied ayns ooilley'n seihll aym.
It filled me with wonder.|Hug eh yindys mooar orrym.
I wonder at it sometimes.|Ta mee goaill yindys jeh ny keayrtyn.
I am surprised.|Ta yindys mooar orrym.
**Gratitude|Booise
Thank you.|Gura mie eu.
Thank you.|Gura mie ayd.
Thank you in anticipation.|Gura mie eu rolaue.
Thank you very much.|Gura mie mooar ayd.
Thank you very much my friend.|Gura mie mooar ayd my charrey.
Thank you very much indeed.|Gura milley mie ayd.
Thank you very much. You're welcome.|Gura mie mooar ayd. She dty vea.
I am very thankful to you.|Ta mee lane kianglt booise dhyt.
I am very thankful.|Ta mee feer vooisal.
I am truly grateful to you.|Ta mee feer wooisal dhyt.
I am obliged to you.|Ta mee kianglt booisal dhyt.
I'm very much obliged to you.|Ta mee mooarane kianlt booise diu.
You've rendered me a great service, I thank you heartily.|Ta shiu er n'yannoo shirveish vooar dou, gura mie mooar eu.
**Envy|Troo
I am envious of him.|Ta troo aym er.
I am envious of him.|Ta jannoo troo mysh.
I envy you it.|S'mooar lhiam dhyt eh.
I envy her.|Ta mee jannoo troo moee.
**Shame|Nearey
I am ashamed.|Ta mee goaill nearey.
I am ashamed.|Ta nearey orrym.
I was ashamed of it.|Va nearey orrym jeh.
You make me feel ashamed.|T'ou cur nearey orrym.
I felt ashamed.|Haink nearey orrym.
I was mortified.|Va nearey orrym.
**Indifference|Neuhym
I am indifferent.|S'cummey lhiam.
I take no interest in it.|Cha nel foays erbee aym er.
I don't care a hang.|S'cummey veg lhiam.
I don't care either way.|She'n red cheddin dooys eh.
I don't care a jot about it.|S'cummey lhiam rap mychione echey.
It does not matter in the least.|Cha nel eh jeh scansh erbee.
It wouldn't matter to me.|By gummey lhiam.
I don't give a damn.|S'cummey yn jouyl lhiam.
It doesn't matter much.|Cha nel eh madyral monney.
It doesn't matter.|S'cummey.
I will have nothing to do with it.|Cha bee eie aym er.
I will have no concern with it.|Cha bee art ny paart aym ayn.
**Busy|Tarrooghid
I am up to my eyes in work.|Ta mee baiht ayns obbyr.
I am besieged with tasks.|Ta mee chionn agglagh.
I have a good deal to do.|Ta ram aym ry-yannoo.
