*Greetings
How’s it going?|Tóskhe? 
And how are you?|Níš tog? 
How are you doing?|Tóškhe yaúŋ he? 
What’s up?|Tókȟa hwo/he? 

*Questions
Are you all doing/sitting okay?|Taŋyáŋ nankáb he? 
Are you available right now?|Waná oníkȟaŋ he? 
Are you awake?|Kiktá naŋká he? 
Are you done?|Niglúštaŋ he? 
Are you going to bring your gun?|Mázawakȟaŋ kiŋ yaglóu kta he? 
Are you going to go eat?|Wól níŋ kta he? 
Are you going to go with me?|Kičhí mayániŋ kta he? 
Are you going to use this?|Lé núŋ kta he? 
Are you happy?|Iyónikphi he? 
Are you heading home now?|Waná yakhíyagla he? 
Are you looking for your navel cord? (to a nosy child)|Čhekpá oyákile he? 
Are you lost?|Yanúni he? 
Are you ready? (to more than one)|Wíŋyeya nankáb he? 
Are you talking about me? (to more than one)|Iwómayaglákahaŋb he? 
Can you see anything over yonder?|Kákhiya takúŋlhčiŋ waŋláka he? 
Did the boy try to fight anybody?|Hokšíla kiŋ tuwéhči khis-wáčhiŋ he? 
Did you ever go over there?|Tóhaŋȟči héčhiya yaí he? 
Did you fill up the water container?|Mní ognáke kiŋ ožúyaya he? 
Do you all understand?|Oyákaȟniǧab he? 
Do you approve?|Héčhetuyala he? 
Do you have a question?|Wóiyuŋǧe waŋží luhá he? 
Do you have your glasses?|Ištámaza yaglúha he? 
Do you know how to cook?|Lolíȟ’aŋpi uŋníspe he? 
Do you know?|Slolyáya he? 
Do you know the answer?|Wóayupte kiŋ slolyáya he? 
Do you like this?|Lé waštéyalaka he? 
Do you remember me?|Miyéksuya he? 
Do you speak Lakota?|Lakȟótiyaya he? 
Do you want me to do it?|Ečhámuŋ yačhíŋ hwo? 
Do you want me to help you?|Óčȟičiya yačhíŋ he? 
Do you want some?|Húŋȟ yačhíŋ he? 
How are you related to him/her?|Tókheškhe takúyaya he? 
How did you arrive?|Tóskhe yahí he? 
How is it outside right now (weather)?|Waná aŋpétu tókča he? 
How was the sweat?|Iníkaǧapi kiŋ tóktu he? 
Is it worth going there?|Héčhiya yephíča he? 
Is the computer on?|Wóuŋspe omnáye kiŋ naíle he? 
Is your significant other here too?|Kičhí yaúŋ kiŋ hé íŋš-eyá hí he? 
Just what are you trying to do?|Tak tókȟanuŋ kte ȟčiŋ hwo? 
Really? Is that right?|Itéšniyaŋ? 
Should we go now?|Waná unyáŋpi héči? 
What all did they come with?|Takúku yuhá hípi he? 
What did I just say?|Lečháš ták epȟá he? 
What did you do last night?|Hanhépi tak tókȟanuŋ he? 
What does that mean?|Hé táku kȟáb he? 
What do you mean?|Táku yakȟá he? 
What do you think?|Tóškhe ilúkčaŋ he? 
What do you want?|Táku čhá yačhíŋ he? 
What else?|Táku kȟó? 
What happened to you yesterday?|Ȟtálehaŋ táku ayákhipȟa he? 
What’s his/her name again?|Ták ečíyap so? 
What’s wrong with you?|Toníkča he? 
What was it again?|Táku so? 
When was it you said you would be back again?|Toháŋl yaglíhuŋni kta kéhe so? 
Where are you going to sit?|Tuktél ílotakiŋ kta he? 
Where are you hurrying off to?|Tókhiya ináȟni lá he? 
Where do you work?|Tuktél wówaši ečhánuŋ he? 
Which one?|Tuktúŋma? 
Which way?|Tuktógna? 
Who is going to pay (the fee)?|Tuwá kayéžu kta he? 
Whom did you arrive with?|Tuwá kičhí yahí he? 
Who ran the meeting?|Tuwá omníčiye kiŋ íŋyaŋgkhiya he? 
Who’s that person in the blue hat?|Wapȟóštaŋ tȟó úŋ kiŋ hé tuwé he? 
Why did you do that?|Tákuwe čhá héčȟanuŋ he? 
Why do you act too good?|Tákuwe wašténič’ila he? 
Why is he/she/it still like that?|Tákuwe héčhena héčheča he? 
You’re going home now, right?|Waná yaglé inčhéye? 


*Commands
Answer me.|Amáyupta yo/ye. 
Bring over that thingamajig.|Íŋska kiŋ hé aú wo/we. 
Bring that to me.|Hé makáu wo/we. 
Close it up.|Natȟáka yo/ye. / Ečhél iyéya yo/ye. 
Come closer.|Sáŋm khiyéla ú wo/we. 
Come here once.|Hiyú yetȟó./ Hiyú tȟó. 
Conduct yourself like a Lakota.|Lakȟóta s’e ophíič’iya yo/ye. 
