Māori
*Praising|Whakamihi
You’re very good!|He tino pai hoki koe!
Awesome!|Ka rawe!
You’ve done a good job!|He tino pai tō mahi.
That’s beautiful!|Te ātaahua hoki!
You’re the best!|Kei runga noa atu koe!
That's amazing!|Ka mau te wehi!
What an excellent job!|Kei whea kē mai te pai o te mahi nei!
You look beautiful!|He ātaahua hoki koe!
Awesome!|Tau Ke!
Wicked!|Wananei!
Awesome!|Tumeke
Relax|Kia Tau!
Yummm!|He reka!
That’s beautiful|Te ataahua hoki!
What a clever child you are!|Katahi na te tamaiti mohio, ko koe!

*Scolding|Whakamania
That’s bad!|Ka kino tēnā!
That is a naughty thing to do!|He mahi hīanga hoki tēnā!
Goodness me!| Auē, e hika mā!
Be quiet!|Turituri tō waha!
By golly!|Pai kare!
Oh gosh, oh dear.|Auē taukiri e
Hold your horse.|Taihoa ake nei
Like a rocket|Kekē ana te haere
Gee, is that right?!|E hika e, wī!
Relax, settle petal.|Kia tau!
Come quickly!|Me haere
Hey Bro!|E Mara!
Goodness me!|Aue, e hika ma!
Don’t do that!|Kaua e mahi pena!


*Colloquialisms
skin and bones|Poho kore te tūpuhi noa iho
ear to the ground|Tangaroa piri whare
mouth like a torn sack|Waha pakaru
no ears|Taringa kore
verbal diarrhoea|Waha papā
headstrong|Ūpoko māro
back biter|Ngau tuarā
thick skinned|He kiri tuna
crocodile tears|He tangi meme
cut off one’s nose to spite one’s face|Nāna anō tōna mate i kimi
believe one’s ears|Kāre au i whakapono atu
broad shoulders|Pakihiwi kaha
jumped down my throat|Puku tōna atu te rae
wet to the bone|Māku katoa atu
flea in one’s ear|Hai aha tēnā
keep one’s nose out of|Kei noho koe
at the top of one’s lungs|Hāparangi tonu
bone head|Rorirori
bad blood|Tutū ana te puehu
blood runs cold|Mate tonu atu i te mataku


*Greetings
Hi|Kia ora
Hello (to one person)|Tēnā koe
Hello (to two people)|Tēnā kōrua
Hello (to three or more people)|Tēnā koutou
How are you?|Kei te pēhea koe?
I’m good|Kei te pai ahau
I’m great|Ka nui te ora
And you?|Me koe?
Goodbye (to someone leaving)|Haere rā
Goodbye (to someone staying)|E noho rā
See you again|Ka kite anō
See you later|Hei konā


*Introductions
My canoe is (name of your waka)|Ko (name of your waka) te waka
My mountain is (name of your mountain)|Ko (name of your mountain) te maunga
My river is (name of your river)|Ko (name of your river) te awa
My tribe is (name of your tribe)|Ko (name of your tribe) te iwi
My sub tribe is (name of your sub tribe)|Ko (name of your sub tribe) te hapū
(Name of your chief) is the chief|Ko (name of your chief) te rangatira
My marae is (name of your marae)|Ko (name of your marae) te marae
I am (your name)|Ko (your name) ahau


*Special Occasions
All the best for the future|Ngā mihi rā mō ngā rā kei mua i te aroaro
Love and best wishes for Mother's Day|Ngā mihi me te aroha nui mō te Rā o te Whaea
Happy Mother's Day love, from (name)|Ngā mihi rā me te aroha nui mō te Rā o te Whaea, nā (ingoa)
To Mother with love, from (name)|Ki a Māmā me te aroha nui, nā (ingoa)
With all my love|Me te aroha nui
Love you heaps|Ka nui taku aroha mōu
My love for you knows no bounds|Ka nui taku aroha ki a koe
Love ya heaps|Taku aroha nui mōu
Love ya heaps|Taku aroha nui ki a koe
My love for you will never wane|E kore e mimiti te aroha mōu
Words can't express how much I love you|E kore e ea i te kupu taku aroha mōu
Happy Anniversary Love|Tēnā koe i tō Huritau
Happy Anniversary Love|Tēnā koe i tō tāua Huritau
Have a wonderful day|Kia rā pai tēnei mōu
Sorry I can't be with you|E pōuri ana i te korenga e tae atu
Sorry I couldn't be with you|E pōuri ana i te korenga i tae atu
Welcome to your new baby girl|Nau mai, e hine, ki te ao tūroa
Welcome to your new baby boy|Nau mai, e tama, ki te ao tūroa
With love|Me te aroha
With loving thoughts|Me te whakaaro nui atu
Fondest memories|Me te aroha tino nui
With all my love|Me tōku aroha tino nui
Much love/Lots of love|Aroha nui
Lots of love to you both/you all|Me te aroha nui ki a kōrua/koutou katoa
Lots of love from us all|Me te aroha nui atu o mātou katoa
